Province,District,Dependent Locality,Provincia Codigo,Distrito Codigo,Corregimiento codigo
ChiriquÌ_,David,Las Lomas,PM02,PM02DA,PM02DALA
ChiriquÌ_,David,Pedregal,PM02,PM02DA,PM02DAPE
ChiriquÌ_,David,San Carlos,PM02,PM02DA,PM02DASA
ChiriquÌ_,David,San JosÌ© de David,PM02,PM02DA,PM02DASA
ChiriquÌ_,David,San Pablo Nuevo,PM02,PM02DA,PM02DASA
ChiriquÌ_,David,San Pablo Viejo,PM02,PM02DA,PM02DASA
ChiriquÌ_,Dolega,San Francisco de Dolega,PM02,PM02DO,PM02DOSA
ChiriquÌ_,Dolega,Dos RÌ_os,PM02,PM02DO,PM02DODO
ChiriquÌ_,Dolega,Los Algarrobos,PM02,PM02DO,PM02DOLO
ChiriquÌ_,Dolega,Los Anastacios,PM02,PM02DO,PM02DOLO
ChiriquÌ_,Dolega,Potrerillos,PM02,PM02DO,PM02DOPO
ChiriquÌ_,Dolega,Potrerillos Abajo,PM02,PM02DO,PM02DOPO
ChiriquÌ_,Dolega,Rovira,PM02,PM02DO,PM02DORO
ChiriquÌ_,Dolega,Tinajas,PM02,PM02DO,PM02DOTI
ChiriquÌ_,Gualaca,Gualaca,PM02,PM02GU,PM02GUGU
ChiriquÌ_,Gualaca,Hornito,PM02,PM02GU,PM02GUHO
ChiriquÌ_,Gualaca,Los Angeles,PM02,PM02GU,PM02GULO
ChiriquÌ_,Gualaca,Paja de Sombrero,PM02,PM02GU,PM02GUPA
ChiriquÌ_,Gualaca,RincÌ_n,PM02,PM02GU,PM02GURI
ChiriquÌ_,Remedios,El Nancito,PM02,PM02RM,PM02RMEL
ChiriquÌ_,Remedios,El Porvenir,PM02,PM02RM,PM02RMEL
ChiriquÌ_,Remedios,El Puerto,PM02,PM02RM,PM02RMEL
ChiriquÌ_,Remedios,Nuestra SeÌ±ora de los Remedios,PM02,PM02RM,PM02RMNU
ChiriquÌ_,Remedios,Santa LucÌ_a,PM02,PM02RM,PM02RMSA
ChiriquÌ_,Renacimiento,BreÌ±Ì_n,PM02,PM02RE,PM02REBR
ChiriquÌ_,Renacimiento,CaÌ±as Gordas,PM02,PM02RE,PM02RECA
ChiriquÌ_,Renacimiento,Dominical,PM02,PM02RE,PM02REDO
ChiriquÌ_,Renacimiento,Monte Lirio,PM02,PM02RE,PM02REMO
ChiriquÌ_,Renacimiento,Plaza de CaisÌÁn,PM02,PM02RE,PM02REPL
ChiriquÌ_,Renacimiento,RÌ_o Sereno,PM02,PM02RE,PM02RERÌ
ChiriquÌ_,Renacimiento,Santa Cruz,PM02,PM02RE,PM02RESA
ChiriquÌ_,Renacimiento,Santa Clara,PM02,PM02RE,PM02RESA
ChiriquÌ_,San FÌ©lix,Las Lajas,PM02,PM02SF,PM02SFLA
ChiriquÌ_,San FÌ©lix,Lajas Adentro,PM02,PM02SF,PM02SFLA
ChiriquÌ_,San FÌ©lix,Juay,PM02,PM02SF,PM02SFJU
ChiriquÌ_,San FÌ©lix,San FÌ©lix,PM02,PM02SF,PM02SFSA
ChiriquÌ_,San FÌ©lix,Santa Cruz,PM02,PM02SF,PM02SFSA
ChiriquÌ_,San Lorenzo,Boca Chica,PM02,PM02SA,PM02SABO
ChiriquÌ_,San Lorenzo,Boca del Monte,PM02,PM02SA,PM02SABO
ChiriquÌ_,San Lorenzo,Horconcitos,PM02,PM02SA,PM02SAHO
ChiriquÌ_,San Lorenzo,San Juan,PM02,PM02SA,PM02SASA
ChiriquÌ_,San Lorenzo,San Lorenzo,PM02,PM02SA,PM02SASA
ChiriquÌ_,TolÌ©,Bella Vista,PM02,PM02TO,PM02TOBE
ChiriquÌ_,TolÌ©,Cerro Viejo,PM02,PM02TO,PM02TOCE
ChiriquÌ_,TolÌ©,El Cristo,PM02,PM02TO,PM02TOEL
ChiriquÌ_,TolÌ©,Justo Fidel Palacios,PM02,PM02TO,PM02TOJU
ChiriquÌ_,TolÌ©,Lajas de TolÌ©,PM02,PM02TO,PM02TOLA
ChiriquÌ_,TolÌ©,Potrero de CaÌ±a,PM02,PM02TO,PM02TOPO
ChiriquÌ_,TolÌ©,Quebrada de Piedra,PM02,PM02TO,PM02TOQU
ChiriquÌ_,TolÌ©,TolÌ©,PM02,PM02TO,PM02TOTO
ChiriquÌ_,TolÌ©,Veladero,PM02,PM02TO,PM02TOVE
CoclÌ©,Aguadulce,San Juan Bautista de Aguadulce,PM03,PM03AG,PM03AGSA
CoclÌ©,Aguadulce,Barrios Unidos,PM03,PM03AG,PM03AGBA
CoclÌ©,Aguadulce,El Cristo,PM03,PM03AG,PM03AGEL
CoclÌ©,Aguadulce,El Roble,PM03,PM03AG,PM03AGEL
CoclÌ©,Aguadulce,PocrÌ_,PM03,PM03AG,PM03AGPO
CoclÌ©,AntÌ_n,AntÌ_n,PM03,PM03AN,PM03ANAN
CoclÌ©,AntÌ_n,Caballero,PM03,PM03AN,PM03ANCA
CoclÌ©,AntÌ_n,Cabuya,PM03,PM03AN,PM03ANCA
CoclÌ©,AntÌ_n,El ChirÌ¼,PM03,PM03AN,PM03ANEL
CoclÌ©,AntÌ_n,El Retiro,PM03,PM03AN,PM03ANEL
CoclÌ©,AntÌ_n,El Valle,PM03,PM03AN,PM03ANEL
CoclÌ©,AntÌ_n,Juan DÌ_az,PM03,PM03AN,PM03ANJU
CoclÌ©,AntÌ_n,RÌ_o Hato,PM03,PM03AN,PM03ANRÌ
CoclÌ©,AntÌ_n,San Juan de Dios,PM03,PM03AN,PM03ANSA
CoclÌ©,AntÌ_n,Santa Rita,PM03,PM03AN,PM03ANSA
CoclÌ©,La Pintada,El Harino,PM03,PM03LA,PM03LAEL
CoclÌ©,La Pintada,El Potrero,PM03,PM03LA,PM03LAEL
CoclÌ©,La Pintada,La Pintada,PM03,PM03LA,PM03LALA
CoclÌ©,La Pintada,Las Lomas,PM03,PM03LA,PM03LALA
CoclÌ©,La Pintada,Llano Grande,PM03,PM03LA,PM03LALL
CoclÌ©,La Pintada,Piedras Gordas,PM03,PM03LA,PM03LAPI
CoclÌ©,La Pintada,Llano Norte,PM03,PM03LA,PM03LALL
CoclÌ©,NatÌÁ,CapellanÌ_a,PM03,PM03NA,PM03NACA
CoclÌ©,NatÌÁ,El CaÌ±o,PM03,PM03NA,PM03NAEL
CoclÌ©,NatÌÁ,GuzmÌÁn,PM03,PM03NA,PM03NAGU
CoclÌ©,NatÌÁ,Las Huacas,PM03,PM03NA,PM03NALA
CoclÌ©,NatÌÁ,NatÌÁ,PM03,PM03NA,PM03NANA
CoclÌ©,NatÌÁ,Toza,PM03,PM03NA,PM03NATO
CoclÌ©,OlÌÁ,El CopÌ©,PM03,PM03OL,PM03OLEL
CoclÌ©,OlÌÁ,El Palmar,PM03,PM03OL,PM03OLEL
CoclÌ©,OlÌÁ,El Picacho,PM03,PM03OL,PM03OLEL
CoclÌ©,OlÌÁ,La Pava,PM03,PM03OL,PM03OLLA
CoclÌ©,OlÌÁ,OlÌÁ,PM03,PM03OL,PM03OLOL
CoclÌ©,PenonomÌ©,CaÌ±averal,PM03,PM03PE,PM03PECA
CoclÌ©,PenonomÌ©,CoclÌ©,PM03,PM03PE,PM03PECO
CoclÌ©,PenonomÌ©,ChiguirÌ_ Arriba,PM03,PM03PE,PM03PECH
CoclÌ©,PenonomÌ©,El Coco,PM03,PM03PE,PM03PEEL
CoclÌ©,PenonomÌ©,El Valle de San Miguel,PM03,PM03PE,PM03PEEL
CoclÌ©,PenonomÌ©,Pajonal,PM03,PM03PE,PM03PEPA
CoclÌ©,PenonomÌ©,PenonomÌ©,PM03,PM03PE,PM03PEPE
CoclÌ©,PenonomÌ©,RÌ_o Grande,PM03,PM03PE,PM03PERÌ
CoclÌ©,PenonomÌ©,RÌ_o Indio,PM03,PM03PE,PM03PERÌ
CoclÌ©,PenonomÌ©,ToabrÌ©,PM03,PM03PE,PM03PETO
CoclÌ©,PenonomÌ©,TulÌ¼,PM03,PM03PE,PM03PETU
ColÌ_n,ColÌ_n,Barrio Norte,PM04,PM04CO,PM04COBA
ColÌ_n,ColÌ_n,Barrio Sur,PM04,PM04CO,PM04COBA
ColÌ_n,ColÌ_n,Buena Vista,PM04,PM04CO,PM04COBU
ColÌ_n,ColÌ_n,CativÌÁ,PM04,PM04CO,PM04COCA
ColÌ_n,ColÌ_n,Ciricito,PM04,PM04CO,PM04COCI
ColÌ_n,ColÌ_n,CristÌ_bal,PM04,PM04CO,PM04COCR
ColÌ_n,ColÌ_n,Escobal,PM04,PM04CO,PM04COES
ColÌ_n,ColÌ_n,LimÌ_n,PM04,PM04CO,PM04COLI
ColÌ_n,ColÌ_n,Nueva Providencia,PM04,PM04CO,PM04CONU
ColÌ_n,ColÌ_n,Puerto PilÌ_n,PM04,PM04CO,PM04COPU
ColÌ_n,ColÌ_n,Sabanitas,PM04,PM04CO,PM04COSA
ColÌ_n,ColÌ_n,Salamanca,PM04,PM04CO,PM04COSA
ColÌ_n,ColÌ_n,San Juan,PM04,PM04CO,PM04COSA
ColÌ_n,ColÌ_n,Santa Rosa,PM04,PM04CO,PM04COSA
ColÌ_n,Chagres,Achiote,PM04,PM04CH,PM04CHAC
ColÌ_n,Chagres,El Guabo,PM04,PM04CH,PM04CHEL
ColÌ_n,Chagres,La Encantada,PM04,PM04CH,PM04CHLA
ColÌ_n,Chagres,Nuevo Chagres,PM04,PM04CH,PM04CHNU
ColÌ_n,Chagres,Palmas Bellas,PM04,PM04CH,PM04CHPA
ColÌ_n,Chagres,PiÌ±a,PM04,PM04CH,PM04CHPI
ColÌ_n,Chagres,Salud,PM04,PM04CH,PM04CHSA
ColÌ_n,Donoso,CoclÌ© del Norte,PM04,PM04DO,PM04DOCO
ColÌ_n,Donoso,El GuÌÁsimo,PM04,PM04DO,PM04DOEL
ColÌ_n,Donoso,Gobea,PM04,PM04DO,PM04DOGO
ColÌ_n,Donoso,Miguel de la Borda,PM04,PM04DO,PM04DOMI
ColÌ_n,Donoso,RÌ_o Indio,PM04,PM04DO,PM04DORÌ
ColÌ_n,Donoso,San JosÌ© del General,PM04,PM04DO,PM04DOSA
ColÌ_n,Portobelo,Cacique,PM04,PM04PO,PM04POCA
ColÌ_n,Portobelo,Garrote,PM04,PM04PO,PM04POGA
ColÌ_n,Portobelo,Isla Grande,PM04,PM04PO,PM04POIS
ColÌ_n,Portobelo,MarÌ_a Chiquita,PM04,PM04PO,PM04POMA
ColÌ_n,Portobelo,San Felipe de Portobelo,PM04,PM04PO,PM04POSA
ColÌ_n,Santa Isabel,Cuango,PM04,PM04SA,PM04SACU
ColÌ_n,Santa Isabel,Miramar,PM04,PM04SA,PM04SAMI
ColÌ_n,Santa Isabel,Nombre de Dios,PM04,PM04SA,PM04SANO
ColÌ_n,Santa Isabel,Palenque,PM04,PM04SA,PM04SAPA
ColÌ_n,Santa Isabel,Palmira,PM04,PM04SA,PM04SAPA
ColÌ_n,Santa Isabel,Playa Chiquita,PM04,PM04SA,PM04SAPL
ColÌ_n,Santa Isabel,Santa Isabel,PM04,PM04SA,PM04SASA
ColÌ_n,Santa Isabel,Viento FrÌ_o,PM04,PM04SA,PM04SAVI
DariÌ©n,Chepigana,Agua FrÌ_a,PM05,PM05CH,PM05CHAG
DariÌ©n,Chepigana,CamogantÌ_,PM05,PM05CH,PM05CHCA
DariÌ©n,Chepigana,Chepigana,PM05,PM05CH,PM05CHCH
DariÌ©n,Chepigana,CucunatÌ_,PM05,PM05CH,PM05CHCU
DariÌ©n,Chepigana,GarachinÌ©,PM05,PM05CH,PM05CHGA
DariÌ©n,Chepigana,JaquÌ©,PM05,PM05CH,PM05CHJA
DariÌ©n,Chepigana,La Palma,PM05,PM05CH,PM05CHLA
DariÌ©n,Chepigana,Puerto PiÌ±a,PM05,PM05CH,PM05CHPU
DariÌ©n,Chepigana,RÌ_o Congo,PM05,PM05CH,PM05CHRÌ
DariÌ©n,Chepigana,RÌ_o Congo Arriba,PM05,PM05CH,PM05CHRÌ
DariÌ©n,Chepigana,RÌ_o Iglesias,PM05,PM05CH,PM05CHRÌ
DariÌ©n,Chepigana,SambÌ¼,PM05,PM05CH,PM05CHSA
DariÌ©n,Chepigana,SetegantÌ_,PM05,PM05CH,PM05CHSE
DariÌ©n,Chepigana,Santa Fe,PM05,PM05CH,PM05CHSA
DariÌ©n,Chepigana,TaimatÌ_,PM05,PM05CH,PM05CHTA
DariÌ©n,Chepigana,TucutÌ_,PM05,PM05CH,PM05CHTU
DariÌ©n,Pinogana,Boca de Cupe,PM05,PM05PI,PM05PIBO
DariÌ©n,Pinogana,El Real de Santa MarÌ_a,PM05,PM05PI,PM05PIEL
DariÌ©n,Pinogana,MetetÌ_,PM05,PM05PI,PM05PIME
DariÌ©n,Pinogana,Paya,PM05,PM05PI,PM05PIPA
DariÌ©n,Pinogana,Pinogana,PM05,PM05PI,PM05PIPI
DariÌ©n,Pinogana,PÌ¼curo,PM05,PM05PI,PM05PIPÌ_
DariÌ©n,Pinogana,Yape,PM05,PM05PI,PM05PIYA
DariÌ©n,Pinogana,Yaviza,PM05,PM05PI,PM05PIYA
DariÌ©n,Pinogana,WargandÌ_,PM05,PM05PI,PM05PIWA
Herrera,ChitrÌ©,ChitrÌ©,PM06,PM06CH,PM06CHCH
Herrera,ChitrÌ©,La Arena,PM06,PM06CH,PM06CHLA
Herrera,ChitrÌ©,Llano Bonito,PM06,PM06CH,PM06CHLL
Herrera,ChitrÌ©,San Juan Bautista.,PM06,PM06CH,PM06CHSA
Herrera,ChitrÌ©,San Miguel de Monagrillo,PM06,PM06CH,PM06CHSA
Herrera,Las Minas,Chepo,PM06,PM06LA,PM06LACH
Herrera,Las Minas,Chumical,PM06,PM06LA,PM06LACH
Herrera,Las Minas,El Toro,PM06,PM06LA,PM06LAEL
Herrera,Las Minas,Las Minas,PM06,PM06LA,PM06LALA
Herrera,Las Minas,Leones,PM06,PM06LA,PM06LALE
Herrera,Las Minas,Quebrada del Rosario,PM06,PM06LA,PM06LAQU
Herrera,Las Minas,Quebrada El CipriÌÁn,PM06,PM06LA,PM06LAQU
Herrera,Los Pozos,El CapurÌ_,PM06,PM06LO,PM06LOEL
Herrera,Los Pozos,El Calabacito,PM06,PM06LO,PM06LOEL
Herrera,Los Pozos,El Cedro,PM06,PM06LO,PM06LOEL
Herrera,Los Pozos,La Arena,PM06,PM06LO,PM06LOLA
Herrera,Los Pozos,La Pitaloza,PM06,PM06LO,PM06LOLA
Herrera,Los Pozos,Las Llanas,PM06,PM06LO,PM06LOLA
Herrera,Los Pozos,Los Cerritos,PM06,PM06LO,PM06LOLO
Herrera,Los Pozos,Los Cerros de Paja,PM06,PM06LO,PM06LOLO
Herrera,Los Pozos,Los Pozos,PM06,PM06LO,PM06LOLO
Herrera,OcÌ¼,Cerro Largo,PM06,PM06OC,PM06OCCE
Herrera,OcÌ¼,El Tijera,PM06,PM06OC,PM06OCEL
Herrera,OcÌ¼,Entradero del Castillo,PM06,PM06OC,PM06OCEN
Herrera,OcÌ¼,Los Llanos,PM06,PM06OC,PM06OCLO
Herrera,OcÌ¼,Llano Grande,PM06,PM06OC,PM06OCLL
Herrera,OcÌ¼,Menchaca,PM06,PM06OC,PM06OCME
Herrera,OcÌ¼,PeÌ±as Chatas,PM06,PM06OC,PM06OCPE
Herrera,OcÌ¼,San SebastiÌÁn de OcÌ¼,PM06,PM06OC,PM06OCSA
Herrera,Parita,Cabuya,PM06,PM06PA,PM06PACA
Herrera,Parita,Los Castillos,PM06,PM06PA,PM06PALO
Herrera,Parita,Llano de la Cruz,PM06,PM06PA,PM06PALL
Herrera,Parita,ParÌ_s,PM06,PM06PA,PM06PAPA
Herrera,Parita,Parita,PM06,PM06PA,PM06PAPA
Herrera,Parita,Portobelillo,PM06,PM06PA,PM06PAPO
Herrera,Parita,Potuga,PM06,PM06PA,PM06PAPO
Herrera,PesÌ©,El Barrero,PM06,PM06PE,PM06PEEL
Herrera,PesÌ©,El Pedregoso,PM06,PM06PE,PM06PEEL
Herrera,PesÌ©,El Ciruelo,PM06,PM06PE,PM06PEEL
Herrera,PesÌ©,El PÌÁjaro,PM06,PM06PE,PM06PEEL
Herrera,PesÌ©,Las Cabras,PM06,PM06PE,PM06PELA
Herrera,PesÌ©,PesÌ©,PM06,PM06PE,PM06PEPE
Herrera,PesÌ©,RincÌ_n Hondo,PM06,PM06PE,PM06PERI
Herrera,PesÌ©,Sabanagrande,PM06,PM06PE,PM06PESA
Herrera,Santa MarÌ_a,Chupampa,PM06,PM06SA,PM06SACH
Herrera,Santa MarÌ_a,El RincÌ_n,PM06,PM06SA,PM06SAEL
Herrera,Santa MarÌ_a,El LimÌ_n,PM06,PM06SA,PM06SAEL
Herrera,Santa MarÌ_a,Los Canelos,PM06,PM06SA,PM06SALO
Herrera,Santa MarÌ_a,Santa MarÌ_a,PM06,PM06SA,PM06SASA
Los Santos,GuararÌ©,El Espinal,PM07,PM07GU,PM07GUEL
Los Santos,GuararÌ©,El Hato,PM07,PM07GU,PM07GUEL
Los Santos,GuararÌ©,El Macano,PM07,PM07GU,PM07GUEL
Los Santos,GuararÌ©,GuararÌ©,PM07,PM07GU,PM07GUGU
Los Santos,GuararÌ©,GuararÌ© Arriba,PM07,PM07GU,PM07GUGU
Los Santos,GuararÌ©,La Enea,PM07,PM07GU,PM07GULA
Los Santos,GuararÌ©,La Pasera,PM07,PM07GU,PM07GULA
Los Santos,GuararÌ©,Las Trancas,PM07,PM07GU,PM07GULA
Los Santos,GuararÌ©,Llano Abajo,PM07,PM07GU,PM07GULL
Los Santos,GuararÌ©,Perales,PM07,PM07GU,PM07GUPE
Los Santos,Las Tablas,Bajo Corral,PM07,PM07LA,PM07LABA
Los Santos,Las Tablas,Bayano,PM07,PM07LA,PM07LABA
Los Santos,Las Tablas,El Carate,PM07,PM07LA,PM07LAEL
Los Santos,Las Tablas,El Cocal,PM07,PM07LA,PM07LAEL
Los Santos,Las Tablas,El Manantial,PM07,PM07LA,PM07LAEL
Los Santos,Las Tablas,El MuÌ±oz,PM07,PM07LA,PM07LAEL
Los Santos,Las Tablas,El Pedregoso,PM07,PM07LA,PM07LAEL
Los Santos,Las Tablas,El Sesteadero,PM07,PM07LA,PM07LAEL
Los Santos,Las Tablas,La Laja,PM07,PM07LA,PM07LALA
Los Santos,Las Tablas,La Miel,PM07,PM07LA,PM07LALA
Los Santos,Las Tablas,La Palma,PM07,PM07LA,PM07LALA
Los Santos,Las Tablas,La Tiza,PM07,PM07LA,PM07LALA
Los Santos,Las Tablas,Las Palmitas,PM07,PM07LA,PM07LALA
Los Santos,Las Tablas,Las Tablas,PM07,PM07LA,PM07LALA
Los Santos,Las Tablas,Las Tablas Abajo,PM07,PM07LA,PM07LALA
Los Santos,Las Tablas,Nuario,PM07,PM07LA,PM07LANU
Los Santos,Las Tablas,Palmira,PM07,PM07LA,PM07LAPA
Los Santos,Las Tablas,PeÌ±a Blanca,PM07,PM07LA,PM07LAPE
Los Santos,Las Tablas,RÌ_o Hondo,PM07,PM07LA,PM07LARÌ
Los Santos,Las Tablas,San JosÌ©,PM07,PM07LA,PM07LASA
Los Santos,Las Tablas,San Miguel,PM07,PM07LA,PM07LASA
Los Santos,Las Tablas,Santo Domingo,PM07,PM07LA,PM07LASA
Los Santos,Las Tablas,Valle Rico,PM07,PM07LA,PM07LAVA
Los Santos,Las Tablas,Vallerriquito,PM07,PM07LA,PM07LAVA
Los Santos,Los Santos,El Ejido,PM07,PM07LO,PM07LOEL
Los Santos,Los Santos,El GuÌÁsimo,PM07,PM07LO,PM07LOEL
Los Santos,Los Santos,La Colorada,PM07,PM07LO,PM07LOLA
Los Santos,Los Santos,La Espigadilla,PM07,PM07LO,PM07LOLA
Los Santos,Los Santos,La Villa de Los Santos,PM07,PM07LO,PM07LOLA
Los Santos,Los Santos,Las Cruces,PM07,PM07LO,PM07LOLA
Los Santos,Los Santos,Las Guabas,PM07,PM07LO,PM07LOLA
Los Santos,Los Santos,Los Ìngeles,PM07,PM07LO,PM07LOLO
Los Santos,Los Santos,Los Olivos,PM07,PM07LO,PM07LOLO
Los Santos,Los Santos,Llano Largo,PM07,PM07LO,PM07LOLL
Los Santos,Los Santos,Sabanagrande,PM07,PM07LO,PM07LOSA
Los Santos,Los Santos,Santa Ana,PM07,PM07LO,PM07LOSA
Los Santos,Los Santos,Tres Quebradas,PM07,PM07LO,PM07LOTR
Los Santos,Los Santos,Villa Lourdes,PM07,PM07LO,PM07LOVI
Los Santos,Los Santos,Agua Buena,PM07,PM07LO,PM07LOAG
Los Santos,Macaracas,BahÌ_a Honda,PM07,PM07MA,PM07MABA
Los Santos,Macaracas,Bajos de GÌ_era,PM07,PM07MA,PM07MABA
Los Santos,Macaracas,Corozal,PM07,PM07MA,PM07MACO
Los Santos,Macaracas,ChupÌÁ,PM07,PM07MA,PM07MACH
Los Santos,Macaracas,El Cedro,PM07,PM07MA,PM07MAEL
Los Santos,Macaracas,Espino Amarillo,PM07,PM07MA,PM07MAES
Los Santos,Macaracas,La Mesa,PM07,PM07MA,PM07MALA
Los Santos,Macaracas,Las Palmas,PM07,PM07MA,PM07MALA
Los Santos,Macaracas,Llano de Piedras,PM07,PM07MA,PM07MALL
Los Santos,Macaracas,Macaracas,PM07,PM07MA,PM07MAMA
